"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"internet";"e-mail";"fax";"telefoonnummer_2";"plaats_2";"postcode_2";"huisnummer";"straat";"instelling"
"50|50 Workcenter";"50_50_workcenter";"1";"237";"";"0000-00-00 00:00:00";"Helicopterstraat 13";"1059CE";"";"POINT(4.84484113957734 52.3413429970878)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:50";"2016-08-30 15:59:50";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"http://5050-workcenter.nl/";"info@5050-workcenter.nl";"";"020 460 4200";"Amsterdam";"1059CE";"13";"Helicopterstraat";"50|50 Workcenter"
"50|50 Workcenter";"50_50_workcenter_1";"1";"237";"";"0000-00-00 00:00:00";"Karspeldreef 1089";"1104SE";"";"POINT(4.97569185702311 52.3153003814072)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:50";"2016-08-30 15:59:50";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"1104SE";"Amsterdam";"020 460 4200";"";"http://5050-workcenter.nl/";"50|50 Workcenter";"Karspeldreef";"1089";"info@5050-workcenter.nl"
"50|50 Workcenter";"50_50_workcenter_2";"1";"237";"";"0000-00-00 00:00:00";"Middenweg 14";"1097BM";"";"POINT(4.92875584394249 52.354748001418)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:50";"2016-08-30 15:59:50";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"50|50 Workcenter";"Middenweg";"14";"1097BM";"Amsterdam";"020 460 4200";"";"http://5050-workcenter.nl/";"info@5050-workcenter.nl"
"50|50 Workcenter";"50_50_workcenter_3";"1";"237";"";"0000-00-00 00:00:00";"Rode Kruisstraat 24b";"1025KN";"";"POINT(4.92874546109189 52.3955340707404)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:50";"2016-08-30 15:59:50";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"50|50 Workcenter";"Rode Kruisstraat";"24b";"1025KN";"Amsterdam";"020 460 4200";"";"http://5050-workcenter.nl/";"info@5050-workcenter.nl"
"50|50 Workcenter";"50_50_workcenter_4";"1";"237";"";"0000-00-00 00:00:00";"Zeeburgerpad 105";"1019AE";"";"POINT(4.92721191783484 52.366856160969)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:50";"2016-08-30 15:59:50";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"50|50 Workcenter";"Zeeburgerpad";"105";"1019AE";"Amsterdam";"020 460 4200";"";"http://5050-workcenter.nl/";"info@5050-workcenter.nl"
"AHA Inloophuis voor dak- en thuislozen";"aha_inloophuis_voor_dak_en_thuislozen";"1";"237";"";"0000-00-00 00:00:00";"Oudezijds Voorburgwal 125";"1012EP";"";"POINT(4.89749611098668 52.3728768729646)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:50";"2016-08-30 15:59:50";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"AHA Inloophuis voor dak- en thuislozen";"Oudezijds Voorburgwal";"125";"1012EP";"Amsterdam";"020 627 4422";"";"http://www.aha-dagopvang.nl";"info@aha-dagopvang.nl"
"Begeleid wonen De Vaart";"begeleid_wonen_de_vaart";"1";"237";"";"0000-00-00 00:00:00";"Oostenburgervoorstraat 2";"1018MR";"";"POINT(4.92257428563768 52.368951447216)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:51";"2016-08-30 15:59:51";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Begeleid wonen De Vaart";"Oostenburgervoorstraat";"2";"1018MR";"Amsterdam";"020 344 9630";"";"http://www.hvoquerido.nl/";""
"Begeleid Zelfstandig Wonen Fleerde";"begeleid_zelfstandig_wonen_fleerde";"1";"237";"";"0000-00-00 00:00:00";"Florijn 24";"1102BA";"";"POINT(4.9578466875549 52.3200385988841)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:51";"2016-08-30 15:59:51";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Begeleid Zelfstandig Wonen Fleerde";"Florijn";"24";"1102BA";"Amsterdam";"020 314 0970";"";"http://www.hvoquerido.nl";""
"Belangenbehartiging Amsterdamse Dak- en Thuislozen (BADT)";"belangenbehartiging_amsterdamse_dak_en_thuislozen_badt";"1";"237";"";"0000-00-00 00:00:00";"Nieuwe Herengracht 18";"1018DP";"";"POINT(4.90376781934102 52.366009072994)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:51";"2016-08-30 15:59:51";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Belangenbehartiging Amsterdamse Dak- en Thuislozen (BADT)";"Nieuwe Herengracht";"18";"1018DP";"Amsterdam";"06 1019 5597";"";"http://www.badt.nl";"b_a_d_t@hotmail.com"
"Bureau Straatjurist : juridisch steunpunt voor dak- en thuislozen";"bureau_straatjurist_juridisch_steunpunt_voor_dak_en_thuislozen";"1";"237";"";"0000-00-00 00:00:00";"Nieuwe Herengracht 18";"1018DP";"";"POINT(4.90376781934102 52.366009072994)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:51";"2016-08-30 15:59:51";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Bureau Straatjurist : juridisch steunpunt voor dak- en thuislozen";"Nieuwe Herengracht";"18";"1018DP";"Amsterdam";"06 1063 3431";"";"http://straatjurist.nl";"c.degroot@diaconie.org"
