"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"instelling";"straat";"huisnummer";"postcode_2";"plaats_2";"telefoonnummer_2";"fax";"internet";"e-mail"
"Adviespraktijk David en Van Wezel";"adviespraktijk_david_en_van_wezel_1";"1";"235";"";"0000-00-00 00:00:00";"Johannes van der Waalsstraat 39";"1098PE";"";"POINT(4.9405019178603 52.3515034043332)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:03";"2016-06-22 14:48:03";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"Adviespraktijk David en Van Wezel";"Johannes van der Waalsstraat";"39";"1098PE";"Amsterdam";"020 665 0696";"";"http://www.david-vanwezel.nl";"ivanwezel@chello.nl"
"Amsterdam Groepspraktijk Psychotherapie";"amsterdam_groepspraktijk_psychotherapie_2";"1";"235";"";"0000-00-00 00:00:00";"WG-plein 44";"1054RB";"";"POINT(4.87160901324048 52.3638871010753)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:03";"2016-06-22 14:48:03";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"Amsterdam Groepspraktijk Psychotherapie";"WG-plein";"44";"1054RB";"Amsterdam";"020 685 1861";"";"http://www.psychotherapiepraktijkamsterdam.nl";"info@psychotherapiepraktijkamsterdam.nl"
"Associatie voor Psychotherapie";"associatie_voor_psychotherapie_2";"1";"235";"";"0000-00-00 00:00:00";"Rozengracht 105";"1016LV";"";"POINT(4.8797559162721 52.3729909155503)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:03";"2016-06-22 14:48:03";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"Associatie voor Psychotherapie";"Rozengracht";"105";"1016LV";"Amsterdam";"020 662 1918";"";"";"i.foeken@upcmail.nl"
"Bo-link, praktijk voor haptotherapie";"bo_link_praktijk_voor_haptotherapie";"1";"235";"";"0000-00-00 00:00:00";"Geerdinkhof 480";"1103RG";"";"POINT(4.97943460432352 52.3282309081226)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:03";"2016-06-22 14:48:03";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"Bo-link, praktijk voor haptotherapie";"Geerdinkhof";"480";"1103RG";"Amsterdam";"06 2243 4980";"";"http://www.bo-link.nl";"info@bo-link.nl"
"Centro Cultural de Hispanohablantes";"centro_cultural_de_hispanohablantes";"1";"235";"";"0000-00-00 00:00:00";"Willem Schoutenstraat 1";"1057DL";"";"POINT(4.85504850574835 52.3675347454174)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:04";"2016-06-22 14:48:04";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"Centro Cultural de Hispanohablantes";"Willem Schoutenstraat";"1";"1057DL";"Amsterdam";"020 618 5828";"";"http://www.hispanohablantes.nl";"hispanohablantes@hotmail.com"
"Coaching en Supervisie Tim de Jong";"coaching_en_supervisie_tim_de_jong";"1";"235";"";"0000-00-00 00:00:00";"Jan Olphert Vaillantlaan 151";"1086XZ";"";"POINT(4.97574060776561 52.3611850572203)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:04";"2016-06-22 14:48:04";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"Coaching en Supervisie Tim de Jong";"Jan Olphert Vaillantlaan";"151";"1086XZ";"Amsterdam";"020 622 1710";"";"http://www.timdejongcoaching.nl";"tadejong@kpnplanet.nl"
"COC Amsterdam";"coc_amsterdam_1";"1";"235";"";"0000-00-00 00:00:00";"Stadhouderskade 89";"1073AV";"";"POINT(4.89531572029783 52.357624660428)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:04";"2016-06-22 14:48:04";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"COC Amsterdam";"Stadhouderskade";"89";"1073AV";"Amsterdam";"020 626 3087";"";"http://www.cocamsterdam.nl";"info@cocamsterdam.nl"
"Compaan Counseling Amsterdam - Homospecifieke Hulpverlening";"compaan_counseling_amsterdam_homospecifieke_hulpverlening";"1";"235";"";"0000-00-00 00:00:00";"J.F. van Hengelstraat 30";"1019DC";"";"POINT(4.94793435916976 52.3746565596972)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:04";"2016-06-22 14:48:04";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"Compaan Counseling Amsterdam - Homospecifieke Hulpverlening";"J.F. van Hengelstraat";"30";"1019DC";"Amsterdam";"06 4055 6196";"";"http://homospecifiekehulpverlening.nl/";"info@homospeciekehulpverlening.nl."
"De Regenboog Groep";"de_regenboog_groep_3";"1";"235";"";"0000-00-00 00:00:00";"Droogbak 1";"1013GE";"";"POINT(4.89413939550038 52.380259820669)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:04";"2016-06-22 14:48:04";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"De Regenboog Groep";"Droogbak";"1";"1013GE";"Amsterdam";"020 531 7600";"";"http://www.deregenboog.org";"info@deregenboog.org"
"Different, pastorale hulpverlening rond seksuele identiteit";"different_pastorale_hulpverlening_rond_seksuele_identiteit";"1";"235";"";"0000-00-00 00:00:00";"Goudsbloemstraat 38";"1015JR";"";"POINT(4.88533449545389 52.3809148853129)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-22 14:48:04";"2016-06-22 14:48:04";"0000-00-00 00:00:00";"Homospecifieke hulpverlening";"Different, pastorale hulpverlening rond seksuele identiteit";"Goudsbloemstraat";"38";"1015JR";"Amsterdam";"020 625 6797";"";"http://www.totheildesvolks.nl/different/home";"info@different.nl"
