"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"instelling";"straat";"huisnummer";"postcode_2";"plaats_2";"telefoonnummer_2";"fax";"internet";"e-mail"
"Buro Bloei";"buro_bloei_2";"1";"246";"";"0000-00-00 00:00:00";"Roemer Visscherstraat 42";"1054EZ";"";"POINT(4.8765126304017 52.361337862629)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:15";"2016-04-22 15:20:15";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"Buro Bloei";"Roemer Visscherstraat";"42";"1054EZ";"Amsterdam";"020 337 4478";"";"http://www.buro-bloei.nl";"info@buro-bloei.nl"
"Centrum Vrouw en Vaart";"centrum_vrouw_en_vaart";"1";"246";"";"0000-00-00 00:00:00";"President Allendelaan 733";"1068VN";"";"POINT(4.80532745726713 52.3656830141971)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:15";"2016-04-22 15:20:15";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"Centrum Vrouw en Vaart";"President Allendelaan";"733";"1068VN";"Amsterdam";"020 410 0452";"";"http://www.vrouwenvaart.nl/";"vrouwenvaart@sezo.nl"
"De Opvoedpoli";"de_opvoedpoli";"1";"246";"";"0000-00-00 00:00:00";"Buikslotermeerplein 136";"1025EX";"";"POINT(4.93560377481371 52.3986971027549)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:15";"2016-04-22 15:20:15";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"De Opvoedpoli";"Buikslotermeerplein";"136";"1025EX";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
"De Opvoedpoli";"de_opvoedpoli_1";"1";"246";"";"0000-00-00 00:00:00";"Houtmankade 332";"1013RR";"";"POINT(4.88229645224543 52.3858811544946)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:15";"2016-04-22 15:20:15";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"De Opvoedpoli";"Houtmankade";"332";"1013RR";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
"De Opvoedpoli";"de_opvoedpoli_2";"1";"246";"";"0000-00-00 00:00:00";"Eerste Van Swindenstraat 555";"1093LC";"";"POINT(4.93013477444236 52.3633815376159)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:15";"2016-04-22 15:20:15";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"De Opvoedpoli";"Eerste Van Swindenstraat";"555";"1093LC";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
"De Opvoedpoli";"de_opvoedpoli_3";"1";"246";"";"0000-00-00 00:00:00";"Bijlmerdreef 1134";"1103JT";"";"POINT(4.96971175371461 52.3216539197909)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:15";"2016-04-22 15:20:15";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"De Opvoedpoli";"Bijlmerdreef";"1134";"1103JT";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
"De Opvoedpoli";"de_opvoedpoli_4";"1";"246";"";"0000-00-00 00:00:00";"Surinameplein 85";"1058GH";"";"POINT(4.85005952852072 52.3575717600906)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:16";"2016-04-22 15:20:16";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"De Opvoedpoli";"Surinameplein";"85";"1058GH";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
"Dream Support, trainingen voor kinderen en opvoedingsadvies voor ouders";"dream_support_trainingen_voor_kinderen_en_opvoedingsadvies_voor_ouders";"1";"246";"";"0000-00-00 00:00:00";"Balistraat 48";"1094JN";"";"POINT(4.93379423043404 52.3630091376526)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:16";"2016-04-22 15:20:16";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"Dream Support, trainingen voor kinderen en opvoedingsadvies voor ouders";"Balistraat";"48";"1094JN";"Amsterdam";"06 1963 6734";"";"http://www.dream-support.nl";"info@dream-support.nl"
"Gezondheidscentrum Borgerstraat";"gezondheidscentrum_borgerstraat";"1";"246";"";"0000-00-00 00:00:00";"Borgerstraat 86";"1053PW";"";"POINT(4.86693802090789 52.3653316675852)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:16";"2016-04-22 15:20:16";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"Gezondheidscentrum Borgerstraat";"Borgerstraat";"86";"1053PW";"Amsterdam";"020 612 2696";"020 612 3116";"http://www.gzc-borgerstraat.nl";""
"Gezondheidscentrum De Keyzer";"gezondheidscentrum_de_keyzer";"1";"246";"";"0000-00-00 00:00:00";"Czaar Peterstraat 4";"1018PR";"";"POINT(4.92682445379144 52.3683029597381)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 15:20:16";"2016-04-22 15:20:16";"0000-00-00 00:00:00";"Opvoedingsondersteuning";"Gezondheidscentrum De Keyzer";"Czaar Peterstraat";"4";"1018PR";"Amsterdam";"020 626 9890";"";"http://www.gzc-dekeyzer.nl";""
