"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"Stadsdeel";"Naam";"Adres";"Postcode";"Plaats";"Telefoonnummer";"E-mailadres";"Website";"Type"
"Apollohal";"apollohal_1";"1";"147";"";"0000-00-00 00:00:00";"Apollolaan 4";"1077 BA";"";"POINT(4.88444366331479 52.3480699452413)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:38";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuid";"Apollohal";"Apollolaan 4";"1077 BA";"Amsterdam";"020-6713910";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Blaashal Gustav Mahler";"blaashal_gustav_mahler";"1";"147";"";"0000-00-00 00:00:00";"Gustav Mahlerlaan 2920";"1081 LB";"";"POINT(4.86782993152642 52.3368696481677)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:39";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuid";"Blaashal Gustav Mahler";"Gustav Mahlerlaan 2920";"1081 LB";"Amsterdam";"";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Bijlmer Sportcentrum";"bijlmer_sportcentrum";"1";"147";"";"0000-00-00 00:00:00";"Anton de Komplein 157";"1102 DR";"";"POINT(4.958035 52.3154432)";"";"Amsterdam Zuidoost";"";"";"";"";"";"";"0";"2018-04-10 02:06:39";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuidoost";"Bijlmer Sportcentrum";"Anton de Komplein 157";"1102 DR";"Amsterdam Zuidoost";"020-6973220";"infobijlmersportcentrum@optisport.nl";"https://www.optisport.nl/bijlmersportcentrum";"Sporthal"
"Hogendorp Sportcentrum";"hogendorp_sportcentrum";"1";"147";"";"0000-00-00 00:00:00";"Van Hogendorpstraat 921";"1051 CE";"";"POINT(4.86758372663217 52.3816472196877)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:40";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"West";"Hogendorp Sportcentrum";"Van Hogendorpstraat 921";"1051 CE";"Amsterdam";"020-6844260";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sportcentrum Caland";"sportcentrum_caland";"1";"147";"";"0000-00-00 00:00:00";"Eliza van Calcarstraat 2";"1068 RR";"";"POINT(4.80713349431224 52.354439167766)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:41";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Nieuw-West";"Sportcentrum Caland";"Eliza van Calcarstraat 2";"1068 RR";"Amsterdam";"020-6677333";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sportcentrum De Pijp";"sportcentrum_de_pijp_2";"1";"147";"";"0000-00-00 00:00:00";"Lizzy Ansinghstraat 88";"1072 RD";"";"POINT(4.89371504249797 52.3497537230203)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:42";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuid";"Sportcentrum De Pijp";"Lizzy Ansinghstraat 88";"1072 RD";"Amsterdam";"020-2524330";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sportcentrum Ookmeer";"sportcentrum_ookmeer";"1";"147";"";"0000-00-00 00:00:00";"Dokter Meurerlaan 7";"1067 SM";"";"POINT(4.80397736569512 52.3678604002299)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:42";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Nieuw-West";"Sportcentrum Ookmeer";"Dokter Meurerlaan 7";"1067 SM";"Amsterdam";"020-5061200";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal Aristos";"sporthal_aristos";"1";"147";"";"0000-00-00 00:00:00";"Tom Schreursweg 10";"1067 MC";"";"POINT(4.78435881782003 52.3820616789518)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:43";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Nieuw-West";"Sporthal Aristos";"Tom Schreursweg 10";"1067 MC";"Amsterdam";"020-6114610";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal Blauw-Wit";"sporthal_blauw_wit_1";"1";"147";"";"0000-00-00 00:00:00";"Joos Banckersweg 18 A";"1056 EP";"";"POINT(4.85735613320338 52.3759306491138)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:44";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Nieuw-West";"Sporthal Blauw-Wit";"Joos Banckersweg 18 A";"1056 EP";"Amsterdam";"020-6160894";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal Calvijn";"sporthal_calvijn";"1";"147";"";"0000-00-00 00:00:00";"Pieter Calandlaan 3";"1065 KH";"";"POINT(4.83152227765652 52.3560953151682)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:44";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Nieuw-West";"Sporthal Calvijn";"Pieter Calandlaan 3";"1065 KH";"Amsterdam";"020-3032656";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
