"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"instelling";"straat";"huisnummer";"postcode_2";"plaats_2";"telefoonnummer_2";"fax";"internet";"e-mail"
"Academisch Centrum Tandheelkunde Amsterdam, (ACTA)";"academisch_centrum_tandheelkunde_amsterdam_acta";"1";"303";"";"0000-00-00 00:00:00";"GustavMahlerlaan 3004";"1081LA";"";"POINT(4.86133764760186 52.33615060552)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:26";"2016-06-28 12:30:26";"0000-00-00 00:00:00";"Tandarts";"Academisch Centrum Tandheelkunde Amsterdam, (ACTA)";"GustavMahlerlaan";"3004";"1081LA";"Amsterdam";"020 598 0380";"";"http://www.acta.nl";"info@acta.nl"
"Algemene Amsterdamse Particuliere Tandverzorging (AAPT)";"algemene_amsterdamse_particuliere_tandverzorging_aapt";"1";"303";"";"0000-00-00 00:00:00";"Weesperzijde 8";"1091EA";"";"POINT(4.90634541114076 52.3584788728448)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:26";"2016-06-28 12:30:26";"0000-00-00 00:00:00";"Tandarts";"Algemene Amsterdamse Particuliere Tandverzorging (AAPT)";"Weesperzijde";"8";"1091EA";"Amsterdam";"020 665 6339";"";"http://www.aapt.nl";"info@aapt.nl"
"Amsterdams Centrum Cosmetische Tandheelkunde (ACCT)";"amsterdams_centrum_cosmetische_tandheelkunde_acct";"1";"303";"";"0000-00-00 00:00:00";"Burgemeester Vening Meineszlaan 66";"1063BE";"";"POINT(4.83140314170136 52.3832535167992)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:26";"2016-06-28 12:30:26";"0000-00-00 00:00:00";"Tandarts";"Amsterdams Centrum Cosmetische Tandheelkunde (ACCT)";"Burgemeester Vening Meineszlaan";"66";"1063BE";"Amsterdam";"020 613 1411";"";"http://www.acct.nl";"info@acct.nl"
"Amsterdams Tandheelkundig Team";"amsterdams_tandheelkundig_team";"1";"303";"";"0000-00-00 00:00:00";"Keizersgracht 435";"1017DJ";"";"POINT(4.88587798329711 52.3666177389728)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:26";"2016-06-28 12:30:26";"0000-00-00 00:00:00";"Tandarts";"Amsterdams Tandheelkundig Team";"Keizersgracht";"435";"1017DJ";"Amsterdam";"020 623 3527";"";"";""
"Amsterdamse Kliniek voor Cosmetische Tandheelkunde en Implantologie";"amsterdamse_kliniek_voor_cosmetische_tandheelkunde_en_implantologie";"1";"303";"";"0000-00-00 00:00:00";"Apollolaan 84";"1077BD";"";"POINT(4.87923259734102 52.3507260477624)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:27";"2016-06-28 12:30:27";"0000-00-00 00:00:00";"Tandarts";"Amsterdamse Kliniek voor Cosmetische Tandheelkunde en Implantologie";"Apollolaan";"84";"1077BD";"Amsterdam";"020 671 3886";"020 671 5646";"http://www.implantaten.nl";""
"AOC Tandartsenpraktijk";"aoc_tandartsenpraktijk";"1";"303";"";"0000-00-00 00:00:00";"WG-plein 167";"1054SC";"";"POINT(4.87051792368012 52.3642867924115)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:27";"2016-06-28 12:30:27";"0000-00-00 00:00:00";"Tandarts";"AOC Tandartsenpraktijk";"WG-plein";"167";"1054SC";"Amsterdam";"020 616 1234";"";"http://www.tandartsenpraktijk-aoc.nl";"tandartsen-aoc@netaffairs.nl"
"Atlas Tandheelkundige Kliniek";"atlas_tandheelkundige_kliniek";"1";"303";"";"0000-00-00 00:00:00";"Prins Hendrikkade 149";"1011AV";"";"POINT(4.90674498764562 52.3730945171454)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:27";"2016-06-28 12:30:27";"0000-00-00 00:00:00";"Tandarts";"Atlas Tandheelkundige Kliniek";"Prins Hendrikkade";"149";"1011AV";"Amsterdam";"020 622 4462";"";"http://www.atlaskliniek.nl";""
"Centrum Bijzondere Tandheelkunde (CBT)";"centrum_bijzondere_tandheelkunde_cbt_1";"1";"303";"";"0000-00-00 00:00:00";"Heinzestraat 2";"1071SK";"";"POINT(4.87716592332137 52.3530360013636)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:27";"2016-06-28 12:30:27";"0000-00-00 00:00:00";"Tandarts";"Centrum Bijzondere Tandheelkunde (CBT)";"Heinzestraat";"2";"1071SK";"Amsterdam";"020 590 1666";"";"https://www.jellinek.nl/centrum-bijzondere-tandheelkunde/";""
"Centrum voor Endodontologie Amsterdam";"centrum_voor_endodontologie_amsterdam";"1";"303";"";"0000-00-00 00:00:00";"Noordhollandstraat 71";"1081AS";"";"POINT(4.86599997133661 52.3239478223481)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:27";"2016-06-28 12:30:27";"0000-00-00 00:00:00";"Tandarts";"Centrum voor Endodontologie Amsterdam";"Noordhollandstraat";"71";"1081AS";"Amsterdam";"020 358 2265";"";"http://www.endocentre.nl/";"info@endocentre.nl"
"Dental 220, tandartspraktijk";"dental_220_tandartspraktijk";"1";"303";"";"0000-00-00 00:00:00";"Gerard Doustraat 220";"1073XB";"";"POINT(4.89688160145875 52.3567323832125)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-06-28 12:30:27";"2016-06-28 12:30:27";"0000-00-00 00:00:00";"Tandarts";"Dental 220, tandartspraktijk";"Gerard Doustraat";"220";"1073XB";"Amsterdam";"020 671 6970";"";"http://www.dental220.nl";"info@dental220.nl"
