"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"type_en"
"Hoeckhuys";"hoeckhuys";1;286;;"0000-00-00 00:00:00";"Fizeaustraat 7 ";"1097 SC";;"POINT(4.9272626693613 52.344673641863)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:42:45";"2016-09-08 17:42:45";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"MOC 't Kabouterhuis Zuidoost";"moc_t_kabouterhuis_zuidoost";1;286;;"0000-00-00 00:00:00";"Leksmondplein 28 ";"1108 EL";;"POINT(4.9796416567172 52.309121338842)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:42:46";"2016-09-08 17:42:46";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"16e Montessorischool ""Gaasperdam""";"16e_montessorischool_gaasperdam";1;286;;"0000-00-00 00:00:00";"Vreeswijkpad 6 ";"1106 DV";;"POINT(4.9841148007483 52.297713193646)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:42:46";"2016-09-08 17:42:46";"0000-00-00 00:00:00";"Onderwijsinstellingen en scholen";"Educational institutions and schools"
"1e Groepspraktijk Stadionweg 42";"1e_groepspraktijk_stadionweg_42";1;286;;"0000-00-00 00:00:00";"Stadionweg 42 ";"1077 SM";;"POINT(4.8813080104506 52.347838568686)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:42:46";"2016-09-08 17:42:46";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"ACTA ";"acta";1;286;;"0000-00-00 00:00:00";"Gustav Mahlerlaan 3004 ";"1081 LA";;"POINT(4.8616551701592 52.335556511659)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:42:47";"2016-09-08 17:42:47";"0000-00-00 00:00:00";"Tandartsen";"Dentists"
"Activiteitencentrum België";"activiteitencentrum_belgie";1;286;;"0000-00-00 00:00:00";"Hageland 117 -119";"1066 SB";;"POINT(4.8122717635511 52.345501088506)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:42:47";"2016-09-08 17:42:47";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Activiteitencentrum De Aker";"activiteitencentrum_de_aker";1;286;;"0000-00-00 00:00:00";"Noorderakerweg 2 ";"1069 PC";;"POINT(4.7826580203744 52.355087330371)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:42:47";"2016-09-08 17:42:47";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Activiteitencentrum De Bonte Kraai";"activiteitencentrum_de_bonte_kraai";1;286;;"0000-00-00 00:00:00";"Kraaiennest 68 ";"1104 CD";;"POINT(4.982459608984 52.316887456929)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:42:47";"2016-09-08 17:42:47";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Activiteitencentrum Gein";"activiteitencentrum_gein";1;286;;"0000-00-00 00:00:00";"Wisseloord 83 ";"1107 NB";;"POINT(4.9872253438826 52.295782390527)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:42:48";"2016-09-08 17:42:48";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Huis van de wijk Het Anker";"huis_van_de_wijk_het_anker";1;286;;"0000-00-00 00:00:00";"Jacques Veltmanstraat 427 ";"1065 DC";;"POINT(4.8325200446581 52.354037254449)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:42:48";"2016-09-08 17:42:48";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
