"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"instelling";"straat";"huisnummer";"postcode_2";"plaats_2";"telefoonnummer_2";"fax";"internet";"e-mail"
"Beth Shalom, Joods zorgcentrum en verpleeghuis";"beth_shalom_joods_zorgcentrum_en_verpleeghuis";"1";"227";"";"0000-00-00 00:00:00";"Kastelenstraat 80";"1083DE";"";"POINT(4.88100928944689 52.3262060145577)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:04";"2016-04-29 15:37:04";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Beth Shalom, Joods zorgcentrum en verpleeghuis";"Kastelenstraat";"80";"1083DE";"Amsterdam";"020 661 1516";"";"http://www.bethshalom.nl";""
"Centrum van ouderen Flesseman";"centrum_van_ouderen_flesseman";"1";"227";"";"0000-00-00 00:00:00";"Nieuwmarkt 77";"1011MA";"";"POINT(4.90067748047184 52.3720091926606)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:04";"2016-04-29 15:37:04";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Centrum van ouderen Flesseman";"Nieuwmarkt";"77";"1011MA";"Amsterdam";"020 620 4890";"";"http://www.amsta.nl";"infoflesseman@amsta.nl"
"Centrum voor verpleeghuiszorg De Poort";"centrum_voor_verpleeghuiszorg_de_poort";"1";"227";"";"0000-00-00 00:00:00";"Hugo de Grootkade 18";"1052LS";"";"POINT(4.87236037950261 52.3725185912838)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:04";"2016-04-29 15:37:04";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Centrum voor verpleeghuiszorg De Poort";"Hugo de Grootkade";"18";"1052LS";"Amsterdam";"020 580 6600";"";"http://www.amsta.nl";"infopoort@amsta.nl"
"De Goodwillburgh";"de_goodwillburgh_1";"1";"227";"";"0000-00-00 00:00:00";"Anne Frankstraat 2";"1011SR";"";"POINT(4.909060522152 52.3694369076746)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:04";"2016-04-29 15:37:04";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"De Goodwillburgh";"Anne Frankstraat";"2";"1011SR";"Amsterdam";"020 553 5455";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"De Hudsonhof";"de_hudsonhof";"1";"227";"";"0000-00-00 00:00:00";"Hudsonhof 1";"1057KP";"";"POINT(4.85209947315776 52.3697863641605)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:04";"2016-04-29 15:37:04";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"De Hudsonhof";"Hudsonhof";"1";"1057KP";"Amsterdam";"020 233 4105";"";"http://hudsonhof.nl";"hudsonhof1@hotmail.com"
"Evean De Kimme";"evean_de_kimme";"1";"227";"";"0000-00-00 00:00:00";"Beemsterstraat 546";"1024BV";"";"POINT(4.95108431187849 52.3963104712899)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:04";"2016-04-29 15:37:04";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Evean De Kimme";"Beemsterstraat";"546";"1024BV";"Amsterdam";"020 637 3678";"";"http://www.evean.nl";""
"Evean Eduard Douwes Dekker";"evean_eduard_douwes_dekker";"1";"227";"";"0000-00-00 00:00:00";"Schoenerstraat 11";"1034XZ";"";"POINT(4.90769611986109 52.404645096468)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Evean Eduard Douwes Dekker";"Schoenerstraat";"11";"1034XZ";"Amsterdam";"020 631 8333";"";"http://www.evean.nl";""
"Evean Henriëtte Roland Holst";"evean_henriette_roland_holst_1";"1";"227";"";"0000-00-00 00:00:00";"Kortvoort 100";"1104NB";"";"POINT(4.96978099676363 52.31428419715)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Evean Henriëtte Roland Holst";"Kortvoort";"100";"1104NB";"Amsterdam";"020 495 2200";"";"http://www.evean.nl";""
"Evean Korthagenhuis";"evean_korthagenhuis";"1";"227";"";"0000-00-00 00:00:00";"Amerbos 590";"1025ZZ";"";"POINT(4.93987619079198 52.4048428761997)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Evean Korthagenhuis";"Amerbos";"590";"1025ZZ";"Amsterdam";"020 632 6281";"";"http://www.evean.nl";""
"Evean Twiskehuis";"evean_twiskehuis_3";"1";"227";"";"0000-00-00 00:00:00";"Watermanstraat 2";"1033AN";"";"POINT(4.88037940833226 52.4160894934834)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Evean Twiskehuis";"Watermanstraat";"2";"1033AN";"Amsterdam";"020 631 2222";"";"http://www.evean.nl";""
"Het Flevohuis";"het_flevohuis";"1";"227";"";"0000-00-00 00:00:00";"Kramatplantsoen 263";"1095LD";"";"POINT(4.94586623079635 52.3655533336182)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Het Flevohuis";"Kramatplantsoen";"263";"1095LD";"Amsterdam";"020 592 5252";"";"http://www.zgao.nl";"info@zgao.nl"
"Huize Plantage";"huize_plantage";"1";"227";"";"0000-00-00 00:00:00";"Henri Polaklaan 11A";"1018CP";"";"POINT(4.91130936019787 52.3678551439604)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Huize Plantage";"Henri Polaklaan";"11A";"1018CP";"Amsterdam";"020 427 4357";"020 427 4267";"http://huizeplantage.nl";"info@huizeplantage.nl"
"LA Rieshuis";"la_rieshuis_1";"1";"227";"";"0000-00-00 00:00:00";"Vinkenstraat 175";"1013JR";"";"POINT(4.88433471579719 52.3835979652873)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"LA Rieshuis";"Vinkenstraat";"175";"1013JR";"Amsterdam";"020 330 7563";"";"http://www.amstelring.nl";"oudroze@amstelring.nl"
"Lutherhof";"lutherhof";"1";"227";"";"0000-00-00 00:00:00";"Staringplein 9";"1054VJ";"";"POINT(4.8634954794259 52.3607955999308)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Lutherhof";"Staringplein";"9";"1054VJ";"Amsterdam";"020 612 3772";"";"http://www.lutherhof.nl";""
"Reade, centrum voor reumatologie en revalidatie";"reade_centrum_voor_reumatologie_en_revalidatie";"1";"227";"";"0000-00-00 00:00:00";"Dr. Jan van Breemenstraat 2";"1056AB";"";"POINT(4.84440831816034 52.3707400053483)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Reade, centrum voor reumatologie en revalidatie";"Dr. Jan van Breemenstraat";"2";"1056AB";"Amsterdam";"020 607 1607";"";"http://www.reade.nl";"info@reade.nl"
"Reade, centrum voor reumatologie en revalidatie";"reade_centrum_voor_reumatologie_en_revalidatie_1";"1";"227";"";"0000-00-00 00:00:00";"Overtoom 283";"1054HW";"";"POINT(4.86684928835166 52.3603790314609)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:05";"2016-04-29 15:37:05";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Reade, centrum voor reumatologie en revalidatie";"Overtoom";"283";"1054HW";"Amsterdam";"020 607 1607";"";"http://www.reade.nl";"info@reade.nl"
"Verpleeghuis De Die";"verpleeghuis_de_die";"1";"227";"";"0000-00-00 00:00:00";"Loenermark 900";"1025VR";"";"POINT(4.93203111019125 52.3989171074832)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:06";"2016-04-29 15:37:06";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Verpleeghuis De Die";"Loenermark";"900";"1025VR";"Amsterdam";"088 267 3226";"";"http://www.cordaan.nl";"dedie@cordaan.nl"
"Verpleeghuis De Open Hof";"verpleeghuis_de_open_hof";"1";"227";"";"0000-00-00 00:00:00";"Fahrenheitstraat 115";"1097PP";"";"POINT(4.92682557250361 52.3455550497961)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:06";"2016-04-29 15:37:06";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Verpleeghuis De Open Hof";"Fahrenheitstraat";"115";"1097PP";"Amsterdam";"020 462 3333";"";"http://www.zgao.nl";"info@zgao.nl"
"Verpleeghuis Dr. Sarphatihuis";"verpleeghuis_dr_sarphatihuis";"1";"227";"";"0000-00-00 00:00:00";"Roetersstraat 2";"1018WC";"";"POINT(4.9105504148047 52.3646974046891)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:06";"2016-04-29 15:37:06";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Verpleeghuis Dr. Sarphatihuis";"Roetersstraat";"2";"1018WC";"Amsterdam";"020 554 0404";"";"http://www.amsta.nl";"infosarphatihuis@amsta.nl"
"Verpleeghuis Gaasperdam";"verpleeghuis_gaasperdam";"1";"227";"";"0000-00-00 00:00:00";"Soestdijkstraat 4";"1107HG";"";"POINT(4.97904597848879 52.2954871199986)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:06";"2016-04-29 15:37:06";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Verpleeghuis Gaasperdam";"Soestdijkstraat";"4";"1107HG";"Amsterdam";"020 564 2300";"";"http://www.cordaan.nl";""
