"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"instelling";"straat";"huisnummer";"postcode_2";"plaats_2";"telefoonnummer_2";"fax";"internet";"e-mail"
"10 voor Toekomst";"10_voor_toekomst_1";"1";"281";"";"0000-00-00 00:00:00";"Hilversumstraat 338";"1024MD";"";"POINT(4.95639615135924 52.3894453789521)";"";"AMSTERDAM";"";"";"";"";"";"";"0";"2016-04-29 13:12:25";"2016-04-29 13:12:25";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"10 voor Toekomst";"Hilversumstraat";"338";"1024MD";"AMSTERDAM";"020 435 3231";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"2Learn";"2learn";"1";"281";"";"0000-00-00 00:00:00";"Johannes Verhulststraat 90";"1071NK";"";"POINT(4.87258150723278 52.354723832105)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:25";"2016-04-29 13:12:25";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"2Learn";"Johannes Verhulststraat";"90";"1071NK";"Amsterdam";"020 772 3333";"";"http://www.2learn.nl";"info@2learn.nl"
"Activiteitencentrum Buitenveldert";"activiteitencentrum_buitenveldert";"1";"281";"";"0000-00-00 00:00:00";"De Klencke 111";"1083HH";"";"POINT(4.88426717632913 52.3338595297254)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:25";"2016-04-29 13:12:25";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Activiteitencentrum Buitenveldert";"De Klencke";"111";"1083HH";"Amsterdam";"020 541 6116";"";"http://www.nieuwamstelrade.nl";"acbuitenveldert@nieuwamstelrade.nl"
"Activiteitencentrum Vrankendijke";"activiteitencentrum_vrankendijke";"1";"281";"";"0000-00-00 00:00:00";"Saaftingestraat 316";"1069BW";"";"POINT(4.79059837953438 52.3604327341924)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:25";"2016-04-29 13:12:25";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Activiteitencentrum Vrankendijke";"Saaftingestraat";"316";"1069BW";"Amsterdam";"020 756 7000";"";"http://www.nieuwamstelrade.nl";"acvrankendijke@nieuwamstelrade.nl"
"Altra Jeugd & Opvoedhulp";"altra_jeugd_opvoedhulp_6";"1";"281";"";"0000-00-00 00:00:00";"Hofgeest 341";"1102ER";"";"POINT(4.95420750871907 52.3111903519439)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:25";"2016-04-29 13:12:25";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Jeugd & Opvoedhulp";"Hofgeest";"341";"1102ER";"Amsterdam";"06 1175 9999";"";"http://www.altra.nl/";"aanmeldpunt@altra.nl"
"Altra Jeugd & Opvoedhulp";"altra_jeugd_opvoedhulp_7";"1";"281";"";"0000-00-00 00:00:00";"Konijnenstraat 7";"1016SL";"";"POINT(4.88177411728941 52.3711390903422)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:25";"2016-04-29 13:12:25";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Jeugd & Opvoedhulp";"Konijnenstraat";"7";"1016SL";"Amsterdam";"06 1175 9999";"";"http://www.altra.nl/";"aanmeldpunt@altra.nl"
"Altra Jeugd & Opvoedhulp";"altra_jeugd_opvoedhulp_8";"1";"281";"";"0000-00-00 00:00:00";"Paradijsplein 2";"1093NJ";"";"POINT(4.93198566646566 52.3575556457396)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:25";"2016-04-29 13:12:25";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Jeugd & Opvoedhulp";"Paradijsplein";"2";"1093NJ";"Amsterdam";"06 1175 9999";"";"http://www.altra.nl/";"aanmeldpunt@altra.nl"
"Altra Jeugd & Opvoedhulp";"altra_jeugd_opvoedhulp_9";"1";"281";"";"0000-00-00 00:00:00";"Rode Kruisstraat 35";"1025KM";"";"POINT(4.93149007223425 52.3943762676545)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:25";"2016-04-29 13:12:25";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Jeugd & Opvoedhulp";"Rode Kruisstraat";"35";"1025KM";"Amsterdam";"06 1175 9999";"";"http://www.altra.nl/";"aanmeldpunt@altra.nl"
"Altra Onderwijs";"altra_onderwijs_6";"1";"281";"";"0000-00-00 00:00:00";"Baarsjesweg 224";"1058AA";"";"POINT(4.85828389454875 52.3634058940364)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:26";"2016-04-29 13:12:26";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Onderwijs";"Baarsjesweg";"224";"1058AA";"Amsterdam";"06 5331 3885";"";"http://www.altra.nl";"info@altra.nl"
"Altra Onderwijs";"altra_onderwijs_7";"1";"281";"";"0000-00-00 00:00:00";"Johan Braakensiekhof 31";"1068KK";"";"POINT(4.81497065093984 52.3522573308916)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:26";"2016-04-29 13:12:26";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Onderwijs";"Johan Braakensiekhof";"31";"1068KK";"Amsterdam";"06 5331 3885";"";"http://www.altra.nl";"info@altra.nl"
"Altra Onderwijs";"altra_onderwijs_8";"1";"281";"";"0000-00-00 00:00:00";"Konijnenstraat 7";"1016SL";"";"POINT(4.88177411728941 52.3711390903422)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:26";"2016-04-29 13:12:26";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Onderwijs";"Konijnenstraat";"7";"1016SL";"Amsterdam";"06 5331 3885";"";"http://www.altra.nl";"info@altra.nl"
