"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"instelling";"straat";"huisnummer";"postcode_2";"plaats_2";"telefoonnummer_2";"fax";"internet";"e-mail"
"10 voor Toekomst";"10_voor_toekomst";"1";"246";"";"0000-00-00 00:00:00";"Hilversumstraat 338";"1024MD";"";"POINT(4.95639615135924 52.3894453789521)";"";"AMSTERDAM";"";"";"";"";"";"";"0";"2016-04-22 16:57:00";"2016-04-22 16:57:00";"0000-00-00 00:00:00";"Jeugdhulpverlening";"10 voor Toekomst";"Hilversumstraat";"338";"1024MD";"AMSTERDAM";"020 435 3231";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"Advies- en Klachtenburo Jeugdzorg (AKJ)";"advies_en_klachtenburo_jeugdzorg_akj";"1";"246";"";"0000-00-00 00:00:00";"IJsbaanpad 9";"1076CV";"";"POINT(4.85453135155933 52.3409016695738)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 16:57:00";"2016-04-22 16:57:00";"0000-00-00 00:00:00";"Jeugdhulpverlening";"Advies- en Klachtenburo Jeugdzorg (AKJ)";"IJsbaanpad";"9";"1076CV";"Amsterdam";"088 555 1000";"";"http://www.akj.nl";""
"ALLES KIDS?! praktijk voor kinderen en jongeren, coaching | therapie | training";"alles_kids_praktijk_voor_kinderen_en_jongeren_coaching_therapie_training";"1";"246";"";"0000-00-00 00:00:00";"Molukkenstraat 200";"1098TW";"";"POINT(4.94049984171686 52.3575431409393)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 16:57:00";"2016-04-22 16:57:00";"0000-00-00 00:00:00";"Jeugdhulpverlening";"ALLES KIDS?! praktijk voor kinderen en jongeren, coaching | therapie | training";"Molukkenstraat";"200";"1098TW";"Amsterdam";"06 3407 0993";"";"http://www.praktijkalleskids.nl";"info@praktijkalleskids.nl"
"Altra Jeugd & Opvoedhulp";"altra_jeugd_opvoedhulp_1";"1";"246";"";"0000-00-00 00:00:00";"Baarsjesweg 224";"1058AA";"";"POINT(4.85828389454875 52.3634058940364)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 16:57:01";"2016-04-22 16:57:01";"0000-00-00 00:00:00";"Jeugdhulpverlening";"Altra Jeugd & Opvoedhulp";"Baarsjesweg";"224";"1058AA";"Amsterdam";"06 1175 9999";"";"http://www.altra.nl/";"aanmeldpunt@altra.nl"
"Altra Jeugd & Opvoedhulp";"altra_jeugd_opvoedhulp_2";"1";"246";"";"0000-00-00 00:00:00";"Hofgeest 341";"1102ER";"";"POINT(4.95420750871907 52.3111903519439)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 16:57:01";"2016-04-22 16:57:01";"0000-00-00 00:00:00";"Jeugdhulpverlening";"Altra Jeugd & Opvoedhulp";"Hofgeest";"341";"1102ER";"Amsterdam";"06 1175 9999";"";"http://www.altra.nl/";"aanmeldpunt@altra.nl"
"Altra Jeugd & Opvoedhulp";"altra_jeugd_opvoedhulp_3";"1";"246";"";"0000-00-00 00:00:00";"Konijnenstraat 7";"1016SL";"";"POINT(4.88177411728941 52.3711390903422)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 16:57:01";"2016-04-22 16:57:01";"0000-00-00 00:00:00";"Jeugdhulpverlening";"Altra Jeugd & Opvoedhulp";"Konijnenstraat";"7";"1016SL";"Amsterdam";"06 1175 9999";"";"http://www.altra.nl/";"aanmeldpunt@altra.nl"
"Altra Jeugd & Opvoedhulp";"altra_jeugd_opvoedhulp_4";"1";"246";"";"0000-00-00 00:00:00";"Paradijsplein 2";"1093NJ";"";"POINT(4.93198566646566 52.3575556457396)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 16:57:01";"2016-04-22 16:57:01";"0000-00-00 00:00:00";"Jeugdhulpverlening";"Altra Jeugd & Opvoedhulp";"Paradijsplein";"2";"1093NJ";"Amsterdam";"06 1175 9999";"";"http://www.altra.nl/";"aanmeldpunt@altra.nl"
"Altra Jeugd & Opvoedhulp";"altra_jeugd_opvoedhulp_5";"1";"246";"";"0000-00-00 00:00:00";"Rode Kruisstraat 35";"1025KM";"";"POINT(4.93149007223425 52.3943762676545)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 16:57:01";"2016-04-22 16:57:01";"0000-00-00 00:00:00";"Jeugdhulpverlening";"Altra Jeugd & Opvoedhulp";"Rode Kruisstraat";"35";"1025KM";"Amsterdam";"06 1175 9999";"";"http://www.altra.nl/";"aanmeldpunt@altra.nl"
"Altra Onderwijs";"altra_onderwijs";"1";"246";"";"0000-00-00 00:00:00";"Baarsjesweg 224";"1058AA";"";"POINT(4.85828389454875 52.3634058940364)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 16:57:01";"2016-04-22 16:57:01";"0000-00-00 00:00:00";"Jeugdhulpverlening";"Altra Onderwijs";"Baarsjesweg";"224";"1058AA";"Amsterdam";"06 5331 3885";"";"http://www.altra.nl";"info@altra.nl"
"Altra Onderwijs";"altra_onderwijs_1";"1";"246";"";"0000-00-00 00:00:00";"Johan Braakensiekhof 31";"1068KK";"";"POINT(4.81497065093984 52.3522573308916)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-22 16:57:01";"2016-04-22 16:57:01";"0000-00-00 00:00:00";"Jeugdhulpverlening";"Altra Onderwijs";"Johan Braakensiekhof";"31";"1068KK";"Amsterdam";"06 5331 3885";"";"http://www.altra.nl";"info@altra.nl"
